"","YEAR","STATE","TYPE.OF.PRODUCER","ENERGY.SOURCE","GENERATION..Megawatthours."
"1",1990,"AK","Total Electric Power Industry","Total",5599506
"2",1990,"AK","Total Electric Power Industry","Coal",510573
"3",1990,"AK","Total Electric Power Industry","Hydro",974521
"4",1990,"AK","Total Electric Power Industry","Natural Gas",3466261
"5",1990,"AK","Total Electric Power Industry","Petroleum",497116
"6",1990,"AK","Total Electric Power Industry","Wind",0
"7",1990,"AK","Total Electric Power Industry","Wood",151035
"8",1990,"AL","Total Electric Power Industry","Total",79652133
"9",1990,"AL","Total Electric Power Industry","Coal",53658115
"10",1990,"AL","Total Electric Power Industry","Hydro",10366507
"11",1990,"AL","Total Electric Power Industry","Natural Gas",1020714
"12",1990,"AL","Total Electric Power Industry","Nuclear",12051882
"15",1990,"AL","Total Electric Power Industry","Petroleum",138089
"16",1990,"AL","Total Electric Power Industry","Wood",2099847
"17",1990,"AR","Total Electric Power Industry","Total",39099598
"18",1990,"AR","Total Electric Power Industry","Coal",19207935
"19",1990,"AR","Total Electric Power Industry","Hydro",3654653
"20",1990,"AR","Total Electric Power Industry","Natural Gas",3578573
"21",1990,"AR","Total Electric Power Industry","Nuclear",11282053
"23",1990,"AR","Total Electric Power Industry","Petroleum",79979
"25",1990,"AR","Total Electric Power Industry","Wood",1238044
"26",1990,"AZ","Total Electric Power Industry","Total",62774297
"27",1990,"AZ","Total Electric Power Industry","Coal",31915610
"28",1990,"AZ","Total Electric Power Industry","Hydro",7417576
"29",1990,"AZ","Total Electric Power Industry","Natural Gas",2333900
"30",1990,"AZ","Total Electric Power Industry","Nuclear",20597689
"31",1990,"AZ","Total Electric Power Industry","Petroleum",151867
"33",1990,"AZ","Total Electric Power Industry","Wood",107888
"34",1990,"CA","Total Electric Power Industry","Total",165784909
"35",1990,"CA","Total Electric Power Industry","Coal",2637677
"36",1990,"CA","Total Electric Power Industry","Geothermal",14521254
"37",1990,"CA","Total Electric Power Industry","Hydro",23792567
"38",1990,"CA","Total Electric Power Industry","Natural Gas",74168308
"39",1990,"CA","Total Electric Power Industry","Nuclear",32692807
"43",1990,"CA","Total Electric Power Industry","Petroleum",5473852
"45",1990,"CA","Total Electric Power Industry","Solar",366668
"46",1990,"CA","Total Electric Power Industry","Wind",2758881
"47",1990,"CA","Total Electric Power Industry","Wood",4121986
"48",1990,"CO","Total Electric Power Industry","Total",32548127
"49",1990,"CO","Total Electric Power Industry","Coal",29814983
"50",1990,"CO","Total Electric Power Industry","Hydro",1419870
"51",1990,"CO","Total Electric Power Industry","Natural Gas",1290092
"53",1990,"CO","Total Electric Power Industry","Petroleum",27390
"55",1990,"CT","Total Electric Power Industry","Total",35147247
"56",1990,"CT","Total Electric Power Industry","Coal",3594645
"57",1990,"CT","Total Electric Power Industry","Hydro",570619
"58",1990,"CT","Total Electric Power Industry","Natural Gas",1251479
"59",1990,"CT","Total Electric Power Industry","Nuclear",19776250
"63",1990,"CT","Total Electric Power Industry","Petroleum",8874466
"65",1990,"DC","Total Electric Power Industry","Total",361043
"66",1990,"DC","Total Electric Power Industry","Coal",0
"67",1990,"DC","Total Electric Power Industry","Petroleum",361043
"68",1990,"DE","Total Electric Power Industry","Total",7841500
"69",1990,"DE","Total Electric Power Industry","Coal",5113479
"70",1990,"DE","Total Electric Power Industry","Natural Gas",763019
"73",1990,"DE","Total Electric Power Industry","Petroleum",1793806
"74",1990,"FL","Total Electric Power Industry","Total",131502553
"75",1990,"FL","Total Electric Power Industry","Coal",60100257
"76",1990,"FL","Total Electric Power Industry","Hydro",174604
"77",1990,"FL","Total Electric Power Industry","Natural Gas",18642683
"78",1990,"FL","Total Electric Power Industry","Nuclear",21779560
"81",1990,"FL","Total Electric Power Industry","Petroleum",25535138
"82",1990,"FL","Total Electric Power Industry","Wood",2144131
"83",1990,"GA","Total Electric Power Industry","Total",102686240
"84",1990,"GA","Total Electric Power Industry","Coal",68545692
"85",1990,"GA","Total Electric Power Industry","Hydro",4589117
"86",1990,"GA","Total Electric Power Industry","Natural Gas",830180
"87",1990,"GA","Total Electric Power Industry","Nuclear",24796884
"90",1990,"GA","Total Electric Power Industry","Petroleum",499480
"92",1990,"GA","Total Electric Power Industry","Wood",2947319
"93",1990,"HI","Total Electric Power Industry","Total",9702752
"94",1990,"HI","Total Electric Power Industry","Coal",2381
"95",1990,"HI","Total Electric Power Industry","Geothermal",0
"96",1990,"HI","Total Electric Power Industry","Hydro",79516
"99",1990,"HI","Total Electric Power Industry","Petroleum",8735862
"100",1990,"HI","Total Electric Power Industry","Wind",28825
"101",1990,"IA","Total Electric Power Industry","Total",30044506
"102",1990,"IA","Total Electric Power Industry","Coal",25751941
"103",1990,"IA","Total Electric Power Industry","Hydro",875114
"104",1990,"IA","Total Electric Power Industry","Natural Gas",333390
"105",1990,"IA","Total Electric Power Industry","Nuclear",3011572
"107",1990,"IA","Total Electric Power Industry","Petroleum",54471
"108",1990,"ID","Total Electric Power Industry","Total",9691475
"109",1990,"ID","Total Electric Power Industry","Coal",44371
"110",1990,"ID","Total Electric Power Industry","Hydro",9114990
"111",1990,"ID","Total Electric Power Industry","Natural Gas",55714
"113",1990,"ID","Total Electric Power Industry","Petroleum",994
"114",1990,"ID","Total Electric Power Industry","Wood",410203
"115",1990,"IL","Total Electric Power Industry","Total",129392471
"116",1990,"IL","Total Electric Power Industry","Coal",54966018
"117",1990,"IL","Total Electric Power Industry","Hydro",143926
"118",1990,"IL","Total Electric Power Industry","Natural Gas",1419891
"119",1990,"IL","Total Electric Power Industry","Nuclear",71887302
"122",1990,"IL","Total Electric Power Industry","Petroleum",438584
"123",1990,"IL","Total Electric Power Industry","Wood",333
"124",1990,"IN","Total Electric Power Industry","Total",101417116
"125",1990,"IN","Total Electric Power Industry","Coal",96925554
"126",1990,"IN","Total Electric Power Industry","Hydro",441021
"127",1990,"IN","Total Electric Power Industry","Natural Gas",1470837
"130",1990,"IN","Total Electric Power Industry","Petroleum",868038
"131",1990,"KS","Total Electric Power Industry","Total",34184857
"132",1990,"KS","Total Electric Power Industry","Coal",23720258
"133",1990,"KS","Total Electric Power Industry","Hydro",13234
"134",1990,"KS","Total Electric Power Industry","Natural Gas",2502807
"135",1990,"KS","Total Electric Power Industry","Nuclear",7874487
"136",1990,"KS","Total Electric Power Industry","Petroleum",74026
"137",1990,"KS","Total Electric Power Industry","Wind",45
"138",1990,"KY","Total Electric Power Industry","Total",73807286
"139",1990,"KY","Total Electric Power Industry","Coal",70500461
"140",1990,"KY","Total Electric Power Industry","Hydro",3160383
"141",1990,"KY","Total Electric Power Industry","Natural Gas",27796
"142",1990,"KY","Total Electric Power Industry","Petroleum",118646
"143",1990,"LA","Total Electric Power Industry","Total",76465630
"144",1990,"LA","Total Electric Power Industry","Coal",17856687
"145",1990,"LA","Total Electric Power Industry","Hydro",656492
"146",1990,"LA","Total Electric Power Industry","Natural Gas",39474866
"147",1990,"LA","Total Electric Power Industry","Nuclear",14196784
"151",1990,"LA","Total Electric Power Industry","Petroleum",232098
"152",1990,"LA","Total Electric Power Industry","Wood",2223538
"153",1990,"MA","Total Electric Power Industry","Total",39811011
"154",1990,"MA","Total Electric Power Industry","Coal",11365893
"155",1990,"MA","Total Electric Power Industry","Hydro",1249242
"156",1990,"MA","Total Electric Power Industry","Natural Gas",6132702
"157",1990,"MA","Total Electric Power Industry","Nuclear",5069620
"160",1990,"MA","Total Electric Power Industry","Petroleum",15101792
"162",1990,"MA","Total Electric Power Industry","Wood",0
"163",1990,"MD","Total Electric Power Industry","Total",33162292
"164",1990,"MD","Total Electric Power Industry","Coal",23509862
"165",1990,"MD","Total Electric Power Industry","Hydro",2298910
"166",1990,"MD","Total Electric Power Industry","Natural Gas",1522443
"167",1990,"MD","Total Electric Power Industry","Nuclear",1251416
"170",1990,"MD","Total Electric Power Industry","Petroleum",3571272
"171",1990,"MD","Total Electric Power Industry","Wood",149118
"172",1990,"ME","Total Electric Power Industry","Total",15946014
"173",1990,"ME","Total Electric Power Industry","Coal",453218
"174",1990,"ME","Total Electric Power Industry","Hydro",4090536
"175",1990,"ME","Total Electric Power Industry","Natural Gas",50786
"176",1990,"ME","Total Electric Power Industry","Nuclear",4860727
"178",1990,"ME","Total Electric Power Industry","Petroleum",3081100
"179",1990,"ME","Total Electric Power Industry","Wood",3048849
"180",1990,"MI","Total Electric Power Industry","Total",100059737
"181",1990,"MI","Total Electric Power Industry","Coal",67066870
"182",1990,"MI","Total Electric Power Industry","Hydro",1627918
"183",1990,"MI","Total Electric Power Industry","Natural Gas",7837956
"184",1990,"MI","Total Electric Power Industry","Nuclear",21610500
"187",1990,"MI","Total Electric Power Industry","Petroleum",861725
"189",1990,"MI","Total Electric Power Industry","Wood",1097963
"190",1990,"MN","Total Electric Power Industry","Total",43070376
"191",1990,"MN","Total Electric Power Industry","Coal",28176280
"192",1990,"MN","Total Electric Power Industry","Hydro",857046
"193",1990,"MN","Total Electric Power Industry","Natural Gas",539839
"194",1990,"MN","Total Electric Power Industry","Nuclear",12139302
"196",1990,"MN","Total Electric Power Industry","Petroleum",447814
"197",1990,"MN","Total Electric Power Industry","Wind",266
"198",1990,"MN","Total Electric Power Industry","Wood",425018
"199",1990,"MO","Total Electric Power Industry","Total",59352830
"200",1990,"MO","Total Electric Power Industry","Coal",48796793
"201",1990,"MO","Total Electric Power Industry","Hydro",2192115
"202",1990,"MO","Total Electric Power Industry","Natural Gas",312109
"203",1990,"MO","Total Electric Power Industry","Nuclear",7998039
"204",1990,"MO","Total Electric Power Industry","Petroleum",90033
"206",1990,"MS","Total Electric Power Industry","Total",25201417
"207",1990,"MS","Total Electric Power Industry","Coal",9526527
"208",1990,"MS","Total Electric Power Industry","Natural Gas",5919664
"209",1990,"MS","Total Electric Power Industry","Nuclear",7422131
"210",1990,"MS","Total Electric Power Industry","Petroleum",738971
"211",1990,"MS","Total Electric Power Industry","Wood",1594124
"212",1990,"MT","Total Electric Power Industry","Total",26029772
"213",1990,"MT","Total Electric Power Industry","Coal",15119619
"214",1990,"MT","Total Electric Power Industry","Hydro",10716817
"215",1990,"MT","Total Electric Power Industry","Natural Gas",55255
"216",1990,"MT","Total Electric Power Industry","Petroleum",28982
"217",1990,"MT","Total Electric Power Industry","Wind",0
"218",1990,"MT","Total Electric Power Industry","Wood",109099
"219",1990,"NC","Total Electric Power Industry","Total",84925767
"220",1990,"NC","Total Electric Power Industry","Coal",49821595
"221",1990,"NC","Total Electric Power Industry","Hydro",6819427
"222",1990,"NC","Total Electric Power Industry","Natural Gas",203465
"223",1990,"NC","Total Electric Power Industry","Nuclear",25905319
"226",1990,"NC","Total Electric Power Industry","Petroleum",328025
"228",1990,"NC","Total Electric Power Industry","Wood",1438214
"229",1990,"ND","Total Electric Power Industry","Total",26993261
"230",1990,"ND","Total Electric Power Industry","Coal",25189003
"231",1990,"ND","Total Electric Power Industry","Hydro",1711148
"232",1990,"ND","Total Electric Power Industry","Natural Gas",51563
"233",1990,"ND","Total Electric Power Industry","Petroleum",41547
"234",1990,"NE","Total Electric Power Industry","Total",21633587
"235",1990,"NE","Total Electric Power Industry","Coal",12661150
"236",1990,"NE","Total Electric Power Industry","Hydro",1140093
"237",1990,"NE","Total Electric Power Industry","Natural Gas",308065
"238",1990,"NE","Total Electric Power Industry","Nuclear",7511298
"239",1990,"NE","Total Electric Power Industry","Petroleum",12981
"240",1990,"NH","Total Electric Power Industry","Total",12405196
"241",1990,"NH","Total Electric Power Industry","Coal",2959203
"242",1990,"NH","Total Electric Power Industry","Hydro",1881087
"243",1990,"NH","Total Electric Power Industry","Natural Gas",0
"244",1990,"NH","Total Electric Power Industry","Nuclear",4080691
"246",1990,"NH","Total Electric Power Industry","Petroleum",2346493
"247",1990,"NH","Total Electric Power Industry","Wood",990198
"248",1990,"NJ","Total Electric Power Industry","Total",39968834
"249",1990,"NJ","Total Electric Power Industry","Coal",7057820
"250",1990,"NJ","Total Electric Power Industry","Hydro",31351
"251",1990,"NJ","Total Electric Power Industry","Natural Gas",6914325
"252",1990,"NJ","Total Electric Power Industry","Nuclear",23770387
"254",1990,"NJ","Total Electric Power Industry","Petroleum",2094969
"256",1990,"NJ","Total Electric Power Industry","Wood",3471
"257",1990,"NM","Total Electric Power Industry","Total",28820204
"258",1990,"NM","Total Electric Power Industry","Coal",25826928
"259",1990,"NM","Total Electric Power Industry","Hydro",205435
"260",1990,"NM","Total Electric Power Industry","Natural Gas",2738087
"262",1990,"NM","Total Electric Power Industry","Petroleum",35626
"263",1990,"NV","Total Electric Power Industry","Total",20050685
"264",1990,"NV","Total Electric Power Industry","Coal",15053277
"265",1990,"NV","Total Electric Power Industry","Geothermal",761192
"266",1990,"NV","Total Electric Power Industry","Hydro",1735081
"267",1990,"NV","Total Electric Power Industry","Natural Gas",2217027
"268",1990,"NV","Total Electric Power Industry","Petroleum",284108
"269",1990,"NY","Total Electric Power Industry","Total",135345692
"270",1990,"NY","Total Electric Power Industry","Coal",25913047
"271",1990,"NY","Total Electric Power Industry","Hydro",28188222
"272",1990,"NY","Total Electric Power Industry","Natural Gas",22724335
"273",1990,"NY","Total Electric Power Industry","Nuclear",23623356
"276",1990,"NY","Total Electric Power Industry","Petroleum",33884855
"278",1990,"NY","Total Electric Power Industry","Wood",407959
"279",1990,"OH","Total Electric Power Industry","Total",127980527
"280",1990,"OH","Total Electric Power Industry","Coal",115832650
"281",1990,"OH","Total Electric Power Industry","Hydro",181395
"282",1990,"OH","Total Electric Power Industry","Natural Gas",241585
"283",1990,"OH","Total Electric Power Industry","Nuclear",10663897
"286",1990,"OH","Total Electric Power Industry","Petroleum",374481
"287",1990,"OH","Total Electric Power Industry","Wood",318075
"288",1990,"OK","Total Electric Power Industry","Total",47079131
"289",1990,"OK","Total Electric Power Industry","Coal",25655347
"290",1990,"OK","Total Electric Power Industry","Hydro",2730594
"291",1990,"OK","Total Electric Power Industry","Natural Gas",18236766
"294",1990,"OK","Total Electric Power Industry","Petroleum",76947
"296",1990,"OK","Total Electric Power Industry","Wood",268963
"297",1990,"OR","Total Electric Power Industry","Total",50372236
"298",1990,"OR","Total Electric Power Industry","Coal",1317344
"299",1990,"OR","Total Electric Power Industry","Hydro",41240367
"300",1990,"OR","Total Electric Power Industry","Natural Gas",819328
"301",1990,"OR","Total Electric Power Industry","Nuclear",6073796
"303",1990,"OR","Total Electric Power Industry","Petroleum",27777
"304",1990,"OR","Total Electric Power Industry","Wind",539
"305",1990,"OR","Total Electric Power Industry","Wood",802598
"306",1990,"PA","Total Electric Power Industry","Total",175623311
"307",1990,"PA","Total Electric Power Industry","Coal",106677155
"308",1990,"PA","Total Electric Power Industry","Hydro",2869192
"309",1990,"PA","Total Electric Power Industry","Natural Gas",2833882
"310",1990,"PA","Total Electric Power Industry","Nuclear",57787051
"314",1990,"PA","Total Electric Power Industry","Petroleum",4654522
"316",1990,"PA","Total Electric Power Industry","Wood",538313
"317",1990,"RI","Total Electric Power Industry","Total",1107316
"318",1990,"RI","Total Electric Power Industry","Coal",0
"319",1990,"RI","Total Electric Power Industry","Hydro",9946
"320",1990,"RI","Total Electric Power Industry","Natural Gas",876943
"322",1990,"RI","Total Electric Power Industry","Petroleum",185671
"323",1990,"SC","Total Electric Power Industry","Total",71363174
"324",1990,"SC","Total Electric Power Industry","Coal",23411867
"325",1990,"SC","Total Electric Power Industry","Hydro",3298066
"326",1990,"SC","Total Electric Power Industry","Natural Gas",787535
"327",1990,"SC","Total Electric Power Industry","Nuclear",42880669
